epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,80616.1,0.98814,0.54508,1.1513,0.9675,0.918,0.96607,0.58395,1.41874,0.58735,1.54169,0.000161,0.000161,0.000161
90,81013.7,0.99105,0.54057,1.15714,0.94668,0.92842,0.9601,0.58319,1.42014,0.58452,1.5285,0.000148625,0.000148625,0.000148625
91,81404.5,0.98295,0.46073,1.2002,0.96784,0.91106,0.96153,0.57674,1.42503,0.58391,1.536,0.00013625,0.00013625,0.00013625
92,81801.1,0.95264,0.44647,1.17297,0.95004,0.93687,0.96102,0.58019,1.40902,0.57637,1.52681,0.000123875,0.000123875,0.000123875
93,82193.3,0.94497,0.44365,1.18449,0.96011,0.93793,0.96064,0.58163,1.41436,0.58032,1.53209,0.0001115,0.0001115,0.0001115
94,82590.4,0.93423,0.44438,1.17279,0.95193,0.93422,0.95904,0.58011,1.41167,0.57865,1.53653,9.9125e-05,9.9125e-05,9.9125e-05
95,82982.4,0.91303,0.42973,1.14287,0.95375,0.93527,0.95756,0.57989,1.41013,0.57657,1.54389,8.675e-05,8.675e-05,8.675e-05
96,83381.2,0.92265,0.43045,1.15981,0.9613,0.92826,0.96483,0.58313,1.40614,0.576,1.53934,7.4375e-05,7.4375e-05,7.4375e-05
97,83834.6,0.90328,0.42259,1.13451,0.9546,0.94319,0.96072,0.58141,1.39846,0.57853,1.53333,6.2e-05,6.2e-05,6.2e-05
98,84294.3,0.89447,0.41673,1.14599,0.95825,0.94195,0.95984,0.58433,1.40106,0.57605,1.53694,4.9625e-05,4.9625e-05,4.9625e-05
99,84747.6,0.89524,0.4181,1.13705,0.95675,0.93823,0.96096,0.58328,1.4004,0.57377,1.54295,3.725e-05,3.725e-05,3.725e-05
100,85224.4,0.88618,0.41522,1.1394,0.95985,0.94354,0.95918,0.58404,1.39911,0.569,1.53897,2.4875e-05,2.4875e-05,2.4875e-05
